时间,UID,用户名,注册时间,用户等级,牌子,用户直播间等级,SC内容,金额,删除
2022/5/21 21:19,1352457979,マリン马琳,,,顶碗人(26),20,早知道,200,
2022/5/21 21:19,38401501,混沌咕哒丸,,,顶碗人(22),12,赢,30,
2022/5/21 21:20,1446674,GNK48-土拨鼠,,,顶碗人(22),13,嘉晚饭，赢！,30,
2022/5/21 21:20,53615515,赏味rights,,,嘉心糖(22),17,我出生了？我又出生了！,30,
2022/5/21 21:20,150793,小敬,,,嘉心糖(24),16,衿儿!!!!,30,
2022/5/21 21:20,27543674,磕的就是嘉晚饭,,,顶碗人(3),10,琳嘉女孩还能说话吗？嘉晚饭赢太多了,30,
2022/5/21 21:20,1586773071,polaris_kira,,,贝极星(21),2,晚晚刚才笑嘻了吧,30,
2022/5/21 21:20,22384985,MosTimeBlackhole,,,伯爵(6),2,随五十，囍囍囍囍,50,
2022/5/21 21:21,12235630,゛薛定谔的喵,,,嘉心糖(28),22,把礼钱还回来~,30,
2022/5/21 21:21,61433497,抗病毒小绵羊,,,奶淇琳(24),17,晚上好!今天521，永远爱你们＾3＾,100,
2022/5/21 21:22,1649990,BaiKarin,,,,17,别刀了，别刀了，孩子被刀惨了TAT,30,
2022/5/21 21:22,540865,八月の凶,,,顶碗人(24),20,有点麻,50,
2022/5/21 21:23,17545630,水晶插头,,,顶碗人(24),18,好好好好，521快乐~~~~~,500,
2022/5/21 21:23,15374066,啵啵天狼星,,,蕾丝(15),12,好的小剧场，欣欣向荣。,100,
2022/5/21 21:23,4443897,流云斩墨,,,瞳星结(6),21,枝江之空,100,
2022/5/21 21:24,5684517,Elrond1011,,,顶碗人(22),10,拉姐今晚神中神,30,
2022/5/21 21:25,289225411,今天去未来,,,别急(2),22,呃，奶宝？,30,
2022/5/21 21:25,96255801,-云月阁主-,,,贝极星(10),7,贝掌门娶我,30,
2022/5/21 21:25,7173021,小精豆晚大林,,,顶碗人(24),20,绷不住了,250,
2022/5/21 21:26,388648751,在下是妙蛙种子啦,,,贝极星(23),12,枝江麻药师向晚,30,
2022/5/21 21:27,388135,AKSN_,,,奶淇琳(25),21,哪个小天才想的台本，出来挨夸,50,
2022/5/21 21:28,12187020,我一直都是顶碗人啊,,,顶碗人(27),21,哈哈哈有周星驰那味了,30,
2022/5/21 21:28,8236427,苏苏苏777,,,顶碗人(1),20,头皮发麻，编剧喝大了写的吧,50,
2022/5/21 21:28,516227724,就看看Zaire,,,顶碗人(4),5,晚子怎么这么像果宝特攻里的陆小果啊，笑死,30,
2022/5/21 21:28,30570,肉丸丸粑粑,,,奶淇琳(24),19,小剧场有意思,50,
2022/5/21 21:28,4599697,雪色幻想,,,顶碗人(23),16,蚌埠住了，但是四人请继续加油！！！！！！新航路已经开启！！！！！,30,
2022/5/21 21:28,6540755,一只然比,,,嘉心糖(21),14,赢,30,
2022/5/21 21:28,2071726,乃王木木的甜蜜筹码,,,顶碗人(24),19,嗨起来！！！！！！！,30,
2022/5/21 21:29,279874804,xiaoxXxX0,,,顶碗人(21),8,爱你们,50,
2022/5/21 21:29,15383491,猫丘皮蛋,,,坏心眼(27),23,笑到我卡痰 哈哈哈哈哈哈哈哈哈哈哈,30,
2022/5/21 21:29,20758121,氧气枪,,,明白人(1),6,今晚这b活是真拉满了,30,
2022/5/21 21:29,3315451,暴打凶凶,,,音乐珈(24),18,段誉 木婉清 秦红棉 刀白凤齐活了，段正淳呢？,50,
2022/5/21 21:29,1586773071,polaris_kira,,,贝极星(21),3,剧情满分，演技满分，唱歌满分，舞蹈满分！,30,
2022/5/21 21:29,23151373,jkdjkdasd,,,德云色(21),14,～,521,
2022/5/21 21:29,286300683,bagoe,,,顶碗人(8),5,《剑眉星目小向晚》,30,
2022/5/21 21:29,8047250,嘉然今晚吃煎饼狗子,,,嘉心糖(26),18,今晚太欢乐了哈哈哈,50,
2022/5/21 21:30,1865915392,坠落-轨迹,,,顶碗人(22),4,晚晚这里前面等级高的都成了三sheng的粉丝，这就是顶碗人,100,54秒后被删除
2022/5/21 21:30,3278213,提拉kira,,,贝极星(27),21,拜托美女们不要搞笑，我笑的肚子疼了，哈哈哈哈，好久没看到这么开心的团播了,100,
2022/5/21 21:30,222641849,VJOKERZJX,,,顶碗人(25),21,今天的台本好棒！！！！！笑累了能让我休息一下嘛？,100,
2022/5/21 21:31,43824122,土豆片烤脆点,,,,21,辛苦姑娘们了，歇一歇，歇一歇，喝口水,30,
2022/5/21 21:32,91789567,神经蛙导,,,顶碗人(22),10,一百昏，今天很开心,100,
2022/5/21 21:33,256323535,bumbleby天下第一,,,,10,这台本怎么这么潮，是不是憨次方写的,30,
2022/5/21 21:33,11774,PAPAPA,,,嘉心糖(26),17,恐怕连科幻小说作家都不敢轻易采用这种设定,100,
2022/5/21 21:35,13415572,喜欢就坚持啦,,,顶碗人(23),20,乃奶奶,500,
2022/5/21 21:35,1779814109,我永不会忘记,,,瞳星结(4),6,别让这个编剧跑了！！！绑起来！！！,30,
2022/5/21 21:36,600369815,爆裂艾丝缇,,,嘉心糖(23),13,答完辩过来看直播了，答辩过程非常顺利，老师没有问什么难的问题，非常感谢答辩老师,30,
2022/5/21 21:38,87615461,公主与小丑的十字路口,,,小逝姬(16),41,大家注意身体，不要勉强自己。适当放松身心，才能休养生息。,50,
2022/5/21 21:42,11177027,爱拉姐的贝极星,,,嘉心糖(22),12,留下来的就好好看直播吧,30,
2022/5/21 21:43,25992548,心飞飞飞飞,,,鸽子花(10),23,521快乐！,1000,
2022/5/21 21:43,57568655,枝江保护动物饲养员,,,顶碗人(13),6,喜欢晚晚就是我永远的明镜止水之心,30,
2022/5/21 21:47,178845882,成步堂咲川,,,顶碗人(22),11,笑嘻了,50,
2022/5/21 21:50,2608750,我不加碗饭我干什么,,,顶碗人(7),16,太北鼻了阿草！,30,
2022/5/21 21:50,1865915392,坠落-轨迹,,,顶碗人(23),5,明明是受伤最深最久的人，却得不到任何偏爱呢，搞笑的调剂品，粉丝浓度低了也是命中注定吧,50,
2022/5/21 21:51,355661267,初笠ミカサ,,,顶碗人(21),5,阿草？定要他有来无回！,30,
2022/5/21 21:51,23379062,12莫名其妙34,,,,5,抓他,500,
2022/5/21 21:53,644774,乃王木木不犯困,,,奶淇琳(27),21,随两百,200,
2022/5/21 21:53,393460034,加碗奶乐贝,,,顶碗人(4),2,神回！！！！！,52,
2022/5/21 21:53,71271,PassioneRagazza,,,奶淇琳(23),11,好好好,30,
2022/5/21 21:54,67118163,_BinYeah_,,,顶碗人(24),11,我永远爱你们，不管前面有多大的阻碍,100,
2022/5/21 21:55,1865915392,坠落-轨迹,,,顶碗人(23),5,人们总是对真正单纯善良的人多有苛刻吧，如果回到728那一天，晚晚一样会得到一片骂声而不是拥护,50,24秒后被删除
2022/5/21 21:56,2720986,糖梨煮酒,,,顶碗人(6),18,好好好！,50,
2022/5/21 21:56,1679391730,别想太多简简单单,,,贝极星(27),20,拉姐帅帅帅,100,
2022/5/21 21:56,4885909,Etafer,,,贝极星(2),5,贝盟主职业生涯多次遭遇逆转，今日仍未卫冕成功，请问是否被钉在历史的耻辱柱上？,30,
2022/5/21 21:56,2051117490,闪光的海,,,顶碗人(1),0,欢迎来“新asoul吧”，一个魂的新家！让我们猎尽3/，共赴梦想~！,30,285秒后被删除
2022/5/21 21:57,1590163,油炸甜面酱,,,,0, ,100,
2022/5/21 21:57,32090391,水星星水胆大清纯,,,粉丝团(21),13,乃贝赢！！！！！,100,
2022/5/21 21:57,10654607,白三Errr,,,奶淇琳(23),16,随100,100,
2022/5/21 21:57,644774,乃王木木不犯困,,,奶淇琳(27),21,好好好,521,
2022/5/21 21:57,480528,Faceless_Akari,,,顶碗人(26),24,随100,100,
2022/5/21 21:57,80031593,老铅Sameker,,,顶碗人(8),11,神中神！！,50,
2022/5/21 21:58,11341327,夕顔と白詰草,,,顶碗人(23),19,今晚台本写的真好，奖励工具人一个鸡腿,100,
2022/5/21 21:58,4306790,ながと_ゆき,,,贝极星(24),11,随二百,200,
2022/5/21 21:58,8940417,萌娘阳炎,,,奶淇琳(22),4,这是我给乃贝的份子钱,50,
2022/5/21 21:58,10345762,从今天开始自闭,,,贝极星(23),11,神中神！！！！！！！！！！,100,
2022/5/21 21:58,142197,拉基DD,,,顶碗人(23),23,乃宝出息了！！！能抱动拉姐了！！！！,500,
2022/5/21 21:58,5540316,乘舟向山行x,,,奶淇琳(23),12,乃贝我的乃贝！,30,
2022/5/21 21:58,41743563,派克托胆大清纯,,,囧菌菌(10),12,爸爸妈妈终于跳山鬼了。不当盟主了，我们联姻！,30,
2022/5/21 21:59,503655684,请叫我贝极星,,,贝极星(21),3,拉姐，一个魂们永远支持你,50,
2022/5/21 21:59,33254829,乃琳我老公,,,奶淇琳(25),14,随！,100,
2022/5/21 21:59,178525375,独秀゚,,,顶碗人(6),3,我的热情无穷无尽！,30,
2022/5/21 21:59,400678359,给你愉悦抬走,,,奶淇琳(14),8,美美美，不过下次能不能两个红色力量型复刻一下,50,
2022/5/21 21:59,6209294,fxy235,,,贝极星(22),13,好好好,30,
2022/5/21 21:59,3278213,提拉kira,,,贝极星(27),21,乃贝啊啊啊啊,50,
2022/5/21 21:59,7896028,乃的贝包,,,顶碗人(12),18,好好好!,100,
2022/5/21 21:59,4464996,鹿原白茶,,,,18,随200,200,
2022/5/21 22:00,10927590,时间回忆归于0,,,奶淇琳(26),20,随一个！祝福,100,
2022/5/21 22:00,640410,ah_qi,,,顶碗人(22),10,好好好，找到入坑时的感觉了，好久没看的这么开心了,100,
2022/5/21 22:01,20688340,鱼总的深海水母,,,顶碗人(22),22,啊啊啊啊啊啊啊不要跟那个女人跳啊,30,
2022/5/21 22:01,1554,醒了就睡觉,,,加九锡(10),20,我的热情无穷无尽！,100,
2022/5/21 22:01,2720986,糖梨煮酒,,,顶碗人(7),18,神中神！我永远喜欢你们！,100,
2022/5/21 22:01,336146370,灯渡伊人,,,顶碗人(21),20,我要和乃琳结婚,30,
2022/5/21 22:01,143462206,月影凝霜晚,,,顶碗人(26),21,寄！,30,
2022/5/21 22:01,930827,晚性十足,,,顶碗人(24),20,好好好！！姑娘们加油,50,
2022/5/21 22:01,5932178,17岁女高中生panda,,,顶碗人(24),17,我的热爱无穷无尽！我爱你们所有人！,100,
2022/5/21 22:02,3278213,提拉kira,,,贝极星(27),21,我永远爱你们四个！一起走下去吧！！！！,100,
2022/5/21 22:02,150122434,和贝拉老婆亲亲,,,贝极星(24),12,谢谢你们，我爱你们,30,
2022/5/21 22:02,45189,乐园的厨师长,,,嘉心糖(26),21,回来了！！！！都回来了！！！！金色的雨！！！！,50,
2022/5/21 22:02,3874017,INNOMAGA,,,顶碗人(23),16,真棒！遇见你们真好！,30,
2022/5/21 22:02,584310212,打麻将真开心,,,奶淇琳(7),3,神中神！,30,
2022/5/21 22:02,34339343,枝江火警,,,嘉心糖(22),13,村子又回来了,30,
2022/5/21 22:02,12235630,゛薛定谔的喵,,,嘉心糖(28),22,大家嘉油！,100,
2022/5/21 22:02,30488,希德瑞利巴,,,顶碗人(22),14,神中神！无所不往！,100,
2022/5/21 22:02,21329357,库玛Higuma,,,顶碗人(24),12,好好好好好好，要一直一直走下去呀！！！,50,
2022/5/21 22:02,443691,nicknameless,,,顶碗人(6),11,好棒好棒好棒！！！,30,
2022/5/21 22:02,14253792,Boscov,,,奶淇琳(23),11,寄明月！,30,
2022/5/21 22:02,28420329,我就是阿楚啊,,,嘉心糖(24),15,姑娘们辛苦了，看的到你们的热爱和努力，你们无愧于偶像,50,
2022/5/21 22:02,57208288,胖胖的雷猴,,,顶碗人(1),1,乃贝最强！,30,
2022/5/21 22:02,7182005,亲亲乃宝,,,顶碗人(4),17,继续加油！,30,
2022/5/21 22:02,32486866,昵称只有一个字的铭,,,嘉心糖(26),16,今晚节目很好，加油！,100,
2022/5/21 22:02,12187020,我一直都是顶碗人啊,,,顶碗人(27),21,想起了2021春节的寄明月！ 真是梦开始的地方啊 无论如何我会一直陪着晚晚的！加油啊晚晚！,100,
2022/5/21 22:02,179118890,FADA5E,,,嘉心糖(24),13,A不灭！！！！！！！！！！！！！！！！！！！！,100,
2022/5/21 22:02,24866107,Lycori4,,,奶淇琳(23),20,令人感叹,33,
2022/5/21 22:02,84001936,兰德kira,,,顶碗人(21),13,以前的村子回来了,30,
2022/5/21 22:03,10927590,时间回忆归于0,,,奶淇琳(26),20,女团定律：四人团都一定会大火！我们as一定也可以,50,
2022/5/21 22:03,4281651,大饼夹一切在逃卷圈,,,奶淇琳(23),13,一心向前！,30,
2022/5/21 22:03,629687529,jhinsokon,,,嘉心糖(7),8,神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！神回！！！,100,
2022/5/21 22:03,46576044,陪乃琳长大捏,,,嘉心糖(21),20,神中神,50,
2022/5/21 22:03,57099038,流水东逝,,,顶碗人(11),10,永远爱你们！,30,
2022/5/21 22:03,5240968,neo_balabala,,,奶淇琳(21),12,姑娘们辛苦了～,30,
2022/5/21 22:03,12493575,是Au不是Au,,,奶淇琳(23),21,神中神,30,
2022/5/21 22:03,526120311,未来理子的绝美爱情,,,顶碗人(11),10,好好好好好好,50,
2022/5/21 22:03,5547191,枝江彩绘,,,顶碗人(26),24,神中神！,100,
2022/5/21 22:03,53962104,飞向晚晚的床,,,嘉心糖(3),10,奥利安费allin,30,
2022/5/21 22:03,36456969,六一柒Kira困,,,奶淇琳(21),11,永远喜欢你们！,52,
2022/5/21 22:03,11438046,shallowdreamTnT,,,御绫军(14),25,大家一起加油,100,
2022/5/21 22:03,238981,小然今天睡什么,,,嘉心糖(25),12,ASOUL时代，沸腾期待，我们一起去鸟巢！,100,
2022/5/21 22:03,3206739,陪嘉然吃遍大江南北,,,嘉心糖(23),20,神中神！爱你们！,30,
2022/5/21 22:03,24566370,寒溪雁度,,,顶碗人(22),11,兄弟们憋吵辣，姑娘们跳舞多辛苦啊,30,
2022/5/21 22:03,335136925,鲜花饼真好吃,,,嘉心糖(22),9,大哥在看吗 在看的话mua你一下,30,
2022/5/21 22:03,424541,everybackcr,,,嘉心糖(25),21,四人刚刚好！,50,
2022/5/21 22:04,35657801,七七七七七七二,,,嘉心糖(15),10,你就是奥利安费all in！以前的感觉回来了！,30,
2022/5/21 22:04,127130,Jolkaze,,,奶淇琳(23),27,神回！四位姑娘辛苦啦！,100,
2022/5/21 22:04,222641849,VJOKERZJX,,,顶碗人(25),21,一直支持你们！一直相信你们！一直爱你们！今天真的好开心,100,
2022/5/21 22:04,15233618,白日做梦游,,,贝极星(1),1,神回！谁赞成谁反对？,30,
2022/5/21 22:04,25092043,南淮旧梦-,,,猫诺(5),20,好好看直播最实际，最开心,30,
2022/5/21 22:04,1749744666,茨木ツバサ,,,顶碗人(3),2,晚安！姑娘们注意身体和嗓子好好休息！陪你们。,50,
2022/5/21 22:04,21943894,tryーeverything,,,奶淇琳(21),15,要一直走下去呀,50,
2022/5/21 22:05,1586773071,polaris_kira,,,贝极星(21),3,今天看得太开心了！神回！,30,
2022/5/21 22:06,2044813,雨在水无月的天空,,,贝极星(22),20,爱真的需要勇气,100,
2022/5/21 22:08,31319544,Ayarinn提不起勁,,,嘉心糖(27),38, ,30,
2022/5/21 22:08,1818172829,比你们更爱慧慧,,,顶碗人(22),6,沉香们别急,100,148秒后被删除
2022/5/21 22:09,95586,玖渚羽,,,嘉心糖(25),20,好棒好开心，好像回到了去年五月,50,
2022/5/21 22:09,497393797,慕慕慕青峰,,,嘉心糖(22),6,江湖虽远，吾道不孤（有你们）,100,
